,Job Title,Company Name,YOE,Salary,Location,Job Description
0,Sap Basis Consultant,Tata Consultancy Services,6-10 Yrs,Not disclosed,"Pune, Bengaluru, Mumbai (All Areas)","Monitor support and perform troubleshooting steps for SAP application landscape, the as..."
1,Network Administrator,Wipro,5-10 Yrs,5-8 Lacs P.A.,"Pune, Bangalore Rural, Mumbai (All Areas)",Experience with monitoring tools like SolarWinds NPM & PRTG Network Monitor
2,Java Full Stack Developer,Accenture,2-5 Yrs,Not disclosed,"Mumbai, Gurugram, Bengaluru",Good to have: Earlier experience in working with any Capital Markets Banking Client Pay...
3,Vue.Js Developer,Accenture,7-12 Yrs,17-27 Lacs P.A.,Mumbai,Bachelors degree from a reputed university Masters degree preferredStay up-to-date with...
4,GN - Strategy - MC - T&O - Learning Programmer - Analyst,Birlasoft,2-6 Yrs,Not disclosed,"Mumbai, Pune, Chennai, Bangalore/Bengaluru, Delhi / NCR","Explore, research and learn with peers :Provide opportunities for collaboration forums ..."
5,Application Lead,Birlasoft,7-12 Yrs,Not disclosed,"Hybrid - Pune, Bengaluru, Mumbai (All Areas)",This position is based at our Mumbai / Bangalore office and requires availability for 2...
6,TIBCO Administrator,Birlasoft,12-19 Yrs,14-18 Lacs P.A.,"Hybrid - Pune, Bengaluru, Mumbai (All Areas)","Experience working on projects involving Tibco EMs (Event Management Systems), SOAP ser..."
7,Qlik Sense Developer (Immediate Joiner),Birlasoft,6-10 Yrs,4-9 Lacs PA,"Hybrid - Hyderabad, Pune, Mumbai (All Areas)",Good Knowledge of Qliksense Developed dashboards in Qliksense to replicate existing Qli...
8,Oracle Integration Cloud Consultant,Unitedlex,8-13 Yrs,Not disclosed,"Hybrid - Hyderabad, Pune, Mumbai (All Areas)","Well versed in calling and consuming RESTful APIs, connecting to file systems, loading,..."
9,Saas Paas Architect,PwC Service Delivery Center,0-2 Yrs,Not disclosed,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",Hi AllWe are looking for Saas Paas Architect. Please find below details;Years of exp-12...
10,Ebs Technical Consultant,PwC Service Delivery Center,4-8 Yrs,Not disclosed,"Mumbai, Hyderabad, Bengaluru","About Birlasoft- Birlasoft, a global leader at the forefront of Cloud, AI, and Digital ..."
11,Oracle Apps Tech Lead,PwC Service Delivery Center,2-5 Yrs,Not disclosed,"Mumbai, Hyderabad, Bengaluru",Shift Timing: Rotational Shift (including night shifts)Flexibility: Willingness to work...
12,Associate - Associate Team,Wipro,5-10 Yrs,Not disclosed,"Hybrid - Hyderabad, Bengaluru, Mumbai (All Areas)",UnitedLex Corporation is looking for Associate - Associate Team to join our dynamic tea...
13,AWS Infra - Senior Associate,Accenture,5-10 Yrs,Not disclosed,"Hyderabad, Bangalore Rural, Mumbai (All Areas)",Ability to work as cloud developer / lead on an agile team and provide automated cloud ...
14,Associate_Operations Transformation-ETRM,Deloitte,1-3 Yrs,Not disclosed,"Mumbai, Gurugram, Bengaluru",  The Operations team works with clients across industry verticals supporting engagemen...
15,Guidewire QA,KPMG Assurance and Consulting Services LLP,9-14 Yrs,10-20 Lacs PA,"Mumbai, Bengaluru, Delhi / NCR","Take part in CoE activities, trainings, recruitments as required and interested Preferr..."
16,AI ML Lead,Tata Consultancy Services,4-8 Yrs,11-21 Lacs PA,"Bangalore Rural, Delhi / NCR, Mumbai (All Areas)","Role & responsibilities . 5 or more years of experience with hands on coding: AI / ML, ..."
17,GN - Industry - LS - SAP Analyst,Accenture,5-10 Yrs,Not disclosed,"Kolkata, Chennai, Mumbai (All Areas)",Intelligent Functions Life Sciences and Health specialistJoin our team in Strategy cons...
18,Deloitte India- Job Opportunity- Azure Data Vault Modeler,Accenture,1-3 Yrs,Not disclosed,"Mumbai, Gurugram, Delhi / NCR"," Dear Candidate, Please refer to below Job description.Your potential, unleashed.Indias..."
